"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Sep-2024","EQ","162.00","165.90","160.48","161.66","165.41","165.61","164.02","184.60","114.60","8,86,61,662","14,54,21,31,498.26","4,02,853"
"25-Sep-2024","EQ","161.50","162.69","159.52","160.53","161.53","161.66","161.19","184.60","114.60","5,80,44,967","9,35,62,42,523.27","3,45,741"
"24-Sep-2024","EQ","155.15","161.50","154.85","153.99","160.65","160.53","159.11","184.60","114.60","13,74,14,352","21,86,40,32,282.12","5,60,847"
"23-Sep-2024","EQ","154.38","154.39","152.80","152.02","153.85","153.99","153.57","184.60","114.60","3,32,81,905","5,11,11,94,267.46","2,32,550"
"20-Sep-2024","EQ","151.00","153.34","150.65","149.54","152.10","152.02","152.14","184.60","114.60","5,38,73,369","8,19,61,75,102.12","2,75,747"
"19-Sep-2024","EQ","151.89","152.19","147.79","150.60","150.08","149.54","149.59","184.60","114.60","3,69,13,781","5,52,18,18,580.40","2,76,513"
"18-Sep-2024","EQ","152.40","152.98","149.61","152.82","150.55","150.60","151.06","184.60","114.60","2,48,56,345","3,75,48,98,081.08","1,93,657"
"17-Sep-2024","EQ","154.00","154.24","152.27","154.21","152.70","152.82","153.06","184.60","114.60","1,82,75,113","2,79,72,51,834.59","1,70,530"
"16-Sep-2024","EQ","155.00","155.66","153.50","153.49","154.15","154.21","154.43","184.60","114.60","3,25,75,460","5,03,05,30,504.26","2,20,809"
"13-Sep-2024","EQ","152.78","155.40","152.50","151.74","153.40","153.49","153.99","184.60","114.60","5,48,94,255","8,45,29,36,106.91","3,07,875"
"12-Sep-2024","EQ","152.00","152.44","148.75","148.17","151.80","151.74","150.69","184.60","114.60","7,31,91,476","11,02,95,00,349.23","3,94,657"
"11-Sep-2024","EQ","149.90","150.20","147.62","149.42","148.38","148.17","148.90","184.60","114.60","2,46,33,287","3,66,78,99,119.21","2,14,629"
"10-Sep-2024","EQ","150.50","151.59","148.81","149.47","149.59","149.42","149.93","184.60","114.60","4,16,07,844","6,23,81,34,738.95","3,03,910"
"09-Sep-2024","EQ","150.90","150.90","148.05","151.22","149.50","149.47","149.39","184.60","114.60","3,26,24,586","4,87,36,87,014.29","3,74,794"
"06-Sep-2024","EQ","151.94","152.90","149.65","151.72","151.25","151.22","151.12","184.60","114.60","3,07,09,532","4,64,07,28,389.77","2,44,219"
"05-Sep-2024","EQ","151.00","152.79","151.00","151.18","152.03","151.72","151.90","184.60","114.60","2,83,47,324","4,30,60,27,852.48","2,04,493"
"04-Sep-2024","EQ","149.50","152.18","149.16","152.15","150.95","151.18","150.88","184.60","114.60","3,96,13,696","5,97,67,22,246.84","2,71,132"
"03-Sep-2024","EQ","152.84","153.45","152.01","152.88","152.28","152.15","152.42","184.60","114.60","1,97,80,066","3,01,48,27,041.84","2,17,103"
"02-Sep-2024","EQ","153.90","153.90","152.14","152.76","152.70","152.88","152.93","184.60","114.60","1,92,00,143","2,93,62,09,047.13","2,02,414"
"30-Aug-2024","EQ","153.00","155.25","152.47","152.97","153.30","152.76","153.54","184.60","114.60","5,51,34,023","8,46,52,02,363.90","2,38,118"
"29-Aug-2024","EQ","153.21","153.56","151.20","153.70","153.15","152.97","152.64","184.60","114.60","4,44,52,983","6,78,54,77,200.23","2,63,576"
"28-Aug-2024","EQ","154.70","155.00","153.05","154.70","153.65","153.70","153.88","184.60","114.60","2,51,95,197","3,87,69,60,988.41","2,00,539"
"27-Aug-2024","EQ","155.80","156.50","154.60","155.70","154.75","154.70","155.27","184.60","114.60","2,45,23,684","3,80,78,46,590.08","1,86,818"
"26-Aug-2024","EQ","154.61","156.40","153.70","154.20","155.90","155.70","155.03","184.60","114.60","3,24,97,603","5,03,81,36,287.29","2,23,228"
"23-Aug-2024","EQ","154.00","154.39","152.55","154.14","154.30","154.20","153.73","184.60","114.60","3,14,90,857","4,84,11,54,185.73","2,03,065"
"22-Aug-2024","EQ","152.51","154.35","152.51","151.92","154.00","154.14","153.67","184.60","114.60","3,67,19,176","5,64,27,70,858.27","2,47,398"
"21-Aug-2024","EQ","153.00","154.18","151.77","153.93","152.00","151.92","152.43","184.60","114.60","4,97,49,381","7,58,33,11,060.60","2,79,210"
"20-Aug-2024","EQ","155.70","155.70","152.80","153.96","153.85","153.93","153.47","184.60","114.60","3,75,59,016","5,76,40,44,551.48","2,51,608"
"19-Aug-2024","EQ","150.85","154.30","150.39","149.52","154.09","153.96","152.26","184.60","114.60","6,28,89,770","9,57,53,47,355.95","4,56,383"
"16-Aug-2024","EQ","148.00","150.00","146.46","146.17","149.50","149.52","147.79","184.60","114.60","5,41,31,721","8,00,02,49,513.64","3,59,932"
"14-Aug-2024","EQ","149.90","149.90","142.35","148.88","146.50","146.17","145.48","184.60","114.60","9,79,11,180","14,24,38,51,337.90","5,69,116"
"13-Aug-2024","EQ","152.10","152.95","148.50","152.06","148.90","148.88","150.42","184.60","114.60","2,93,96,493","4,42,18,44,562.26","3,00,330"
"12-Aug-2024","EQ","151.00","153.40","149.88","151.81","152.14","152.06","152.12","184.60","114.60","3,05,50,334","4,64,73,83,059.79","2,38,401"
"09-Aug-2024","EQ","153.00","153.00","151.25","150.28","151.70","151.81","152.06","184.60","114.60","2,32,90,101","3,54,14,92,860.00","2,59,551"
"08-Aug-2024","EQ","153.40","153.44","150.00","153.86","150.60","150.28","151.32","184.60","114.60","5,18,58,615","7,84,73,12,494.99","3,71,279"
"07-Aug-2024","EQ","153.70","154.30","151.90","150.32","154.15","153.86","153.05","184.60","114.60","3,20,29,697","4,90,21,70,111.94","3,09,953"
"06-Aug-2024","EQ","151.21","153.80","149.61","149.82","151.17","150.32","151.52","184.60","114.60","5,35,07,102","8,10,71,88,228.99","5,89,379"
"05-Aug-2024","EQ","153.66","154.00","149.00","158.22","149.34","149.82","151.19","184.60","114.60","10,28,83,971","15,55,49,00,022.60","9,17,741"
"02-Aug-2024","EQ","161.00","161.19","154.72","163.06","158.39","158.22","158.29","184.60","114.60","7,24,27,529","11,46,46,27,804.85","6,69,777"
"01-Aug-2024","EQ","168.20","168.95","160.90","165.33","163.07","163.06","164.04","184.60","114.60","11,83,41,338","19,41,26,42,515.80","5,12,835"
